;уникальный номер;пол;age;raion;fio
1079;101437546;1;64;46;Брайтенбюхер Глеб Владимирович
1094;101446326;1;66;55;Абъянов Марсель Тимурович
1095;101447566;1;55;72;Быховский Алексей Марселевич
1099;101429415;1;80;15;Карышев Ильдар Ильдарович
1120;101428395;1;68;53;Стуров Вадим Михаилович
1152;101415311;1;64;124;Елисеенков Роберт Рамилевич
1154;101432739;1;76;42;Винявский Павел Дмитриевич
1170;101414832;1;68;2;Павлюченков Филипп Федорович
1180;101433170;1;64;89;Хайретдинов Николай Степанович
1190;101434637;1;64;83;Сопцов Альберт Павлович
1201;101431038;1;71;53;Ярошев Александр Павлович
1208;101376496;1;59;91;Белеутов Станислав Анатольевич
1218;101446093;1;64;60;Ваулиных Дамир Станиславович
1240;101354978;1;70;77;Смолянец Михаил Артурович
1249;101428411;1;83;77;Лоскутов Ильдар Евгеньевич
1253;101434155;1;69;101;Смоленов Никита Павлович
1262;101440851;1;64;81;Богданчиков Артем Вадимович
1273;101434854;1;80;86;Петрушенко Сергей Степанович
1282;101368093;1;72;116;Квитко Евгений Васильевич
1319;101439398;1;61;13;Кавалеров Анатолий Данилович
1320;101425378;1;63;124;Пескарев Борис Андреевич
1326;101447886;1;68;121;Клещев Виктор Вадимович
1353;101367964;1;74;110;Охотник Петр Леонидович
1361;101450076;1;66;64;Яськов Владислав Станиславович
1394;101374042;1;78;130;Сажин Филипп Робертович
1399;101420997;1;63;61;Акопян Михаил Германович
1437;101357707;1;68;77;Шомоев Денис Глебович
1448;101390371;1;74;0;Бизюкин Тимур Витальевич
1451;101438032;1;69;20;Ламанов Валерий Дамирович
1452;101417923;1;65;20;Кутлуков Юрий Тимофеевич
1460;101430425;1;66;60;Басенко Олег Маратович
1506;101433717;1;70;54;Бродт Данил Григорьевич
1507;101376979;1;74;66;Сущенко Степан Валентинович
1531;101436015;1;74;116;Лялин Алексей Васильевич
1532;101429980;1;76;61;Евлашев Александр Русланович
1534;101432782;1;64;107;Любов Владислав Дмитриевич
1565;101361917;1;68;136;Франтов Степан Радикович
1578;101371132;1;66;19;Писарь Иван Ильдарович
1594;101437418;1;63;75;Чаусов Ярослав Павлович
1613;101449097;1;79;34;Яров Дмитрий Леонидович
1618;101375633;1;71;108;Голанов Игорь Валерьевич
1630;101438178;1;71;14;Заложных Ильдар Маратович
1631;101432140;1;65;30;Самигуллин Ильдар Ринатович
1634;101399894;1;79;47;Рузанцев Тимофей Германович
1636;101447572;1;72;21;Букацел Герман Ильдарович
1649;101420537;1;62;30;Семеновский Семен Алексеевич
1684;101371675;1;78;94;Ботнарук Антон Федорович
1687;101407448;1;62;12;Галынин Павел Эдуардович
1690;101406456;1;83;98;Курочкин Андрей Семенович
1706;101388053;1;67;71;Юриков Ян Ильич
1731;101357755;1;76;43;Сеньшин Степан Петрович
1794;101414897;1;77;53;Ксанаев Ефим Эдуардович
1801;101368104;1;75;33;Резанцев Александр Витальевич
1811;101448120;1;65;36;Кондров Артур Янович
1839;101379390;1;80;30;Ляхович Илья Данилович
1845;101428324;1;69;60;Мучников Радик Дмитриевич
1849;101396521;1;68;129;Нечай Максим Маратович
1854;101377011;1;68;25;Умный Марсель Ярославович
1872;101440998;1;65;54;Шумейко Алексей Ильич
1875;101432850;1;70;130;Манякин Николай Степанович
1882;101439251;1;69;22;Остужев Сергей Ильдарович
1894;101441199;1;65;126;Шабуров Евгений Маратович
1916;101409552;1;69;76;Эктов Дмитрий Русланович
1917;101373383;1;68;65;Аширов Роберт Петрович
1932;101425480;1;75;133;Сергусин Иван Николаевич
1942;101407259;1;73;21;Славный Андрей Антонович
1948;101447519;1;60;111;Шпилев Георгий Робертович
1954;101441866;1;60;61;Житков Станислав Станиславович
1955;101429283;1;68;10;Рогаточников Ярослав Яковлев
1963;101386607;1;65;129;Сальцов Евгений Данилович
1969;101397822;1;67;133;Голявкин Василий Валентинович
1978;101414614;1;76;47;Аниканов Юрий Олегович
1984;101380508;1;67;73;Гулишамбаров Ринат Юрьевич
1994;101434424;1;62;91;Моригеровский Ефим Петрович
2000;101436640;1;65;37;Пустыльников Алексей Леонидович
2005;101348228;1;70;121;Бочко Ильдар Иванович
2015;101415114;1;64;122;Мамулов Ярослав Марселевич
2016;101377121;1;72;9;Кипарский Филипп Алексеевич
2046;101425534;1;58;133;Полев Юрий Константинович
2052;101418108;1;81;73;Винниченко Ефим Артурович
2055;101435946;1;65;5;Абсаидов Петр Антонович
2056;101445094;1;74;0;Хряков Данил Владиславович
2057;101411792;1;67;32;Лучин Руслан Геннадьевич
2061;101418696;1;80;27;Шамраев Тимофей Николаевич
2099;101412954;1;70;4;Кудайбергенов Марат Степанович
2151;101358223;1;77;103;Девятовский Руслан Валерьевич
2152;101448074;1;67;99;Полюхов Егор Павлович
2153;101381215;1;76;10;Пачоский Петр Алексеевич
2156;101382581;1;69;7;Баруткин Андрей Русланович
2157;101379942;1;74;10;Сименькевич Дамир Леонидович
2168;101361004;1;68;36;Ярков Яков Германович
2181;101414051;1;78;65;Толстобров Антон Андреевич
2184;101423907;1;69;20;Полферов Владимир Глебович
2187;101406708;1;65;37;Анточ Максим Германович
2191;101373869;1;66;49;Асташкин Алексей Артемович
2203;101393068;1;63;5;Гедымин Павел Артемович
2212;101415774;1;72;99;Атавин Герман Никитович
2213;101369750;1;63;77;Каледин Марсель Эдуардович
2221;101371613;1;65;56;Гривин Константин Тимофеевич
2233;101387603;1;81;82;Кинешов Федор Леонидович
2254;101431673;1;74;44;Дубенский Артем Николаевич
2262;101366826;1;83;10;Кичкин Виталий Артурович
2266;101373208;1;74;85;Иванский Денис Витальевич
2282;101383973;1;65;12;Корнильцев Рамиль Борисович
2299;101350031;1;92;8;Багриенко Евгений Антонович
2306;101440314;1;63;81;Дубовский Юрий Владимирович
2331;101449251;1;68;92;Вальтер Тимофей Георгиевич
2337;101426004;1;73;99;Крянин Николай Степанович
2343;101450601;1;67;74;Олухнов Степан Федорович
2364;101416961;1;76;89;Паршин Константин Ярославович
2367;101410026;1;77;114;Лодыжников Борис Робертович
2384;101348749;1;82;3;Видиков Анатолий Александрович
2385;101400100;1;70;134;Полунин Ян Ильич
2391;101432795;1;77;137;Выборнов Геннадий Аркадьевич
2394;101383640;1;72;20;Полутяглов Ринат Вячеславович
2407;101443853;1;66;98;Черноглазкин Герман Олегович
2412;101397608;1;64;70;Безрученко Максим Альбертович
2418;101431723;1;68;113;Перочинцев Ян Анатольевич
2421;101403465;1;65;110;Антоняк Марат Семенович
2454;101450063;1;62;68;Лихобабенко Аркадий Артемович
2462;101358228;1;78;73;Ходаков Максим Дамирович
2477;101440393;1;77;61;Яхонт Анатолий Александрович
2498;101410945;1;81;31;Бахчиванжи Константин Олегович
2499;101430654;1;63;73;Шпачков Семен Владимирович
2504;101366247;1;69;129;Вовчко Валерий Никитович
2513;101379811;1;75;23;Шихалеев Иван Викторович
2521;101450087;1;76;91;Лавринец Сергей Вадимович
2530;101409618;1;66;116;Миндлин Радик Альбертович
2534;101402680;1;79;70;Жолобов Дмитрий Эдуардович
2546;101415359;1;64;8;Алмосов Валентин Олегович
2552;101402172;1;84;102;Мазитов Радик Федорович
2555;101419829;1;58;56;Миних Вячеслав Эдуардович
2592;101415623;1;60;113;Бувайлов Сергей Аркадьевич
2594;101449525;1;70;110;Миначенко Василий Евгеньевич
2629;101439025;1;69;0;Давлетбеков Геннадий Ефимович
2654;101394829;1;69;83;Бавильский Рамиль Сергеевич
2655;101361159;1;81;105;Островков Владимир Константинович
2664;101388084;1;65;137;Хохов Эдуард Станиславович
2672;101390760;1;72;8;Брюхань Андрей Егорович
2673;101409575;1;73;137;Лагодин Эдуард Тимофеевич
2684;101440533;1;85;9;Менжинский Евгений Евгеньевич
2689;101431890;1;61;37;Мусатов Павел Денисович
2690;101421893;1;66;133;Иванеев Филипп Ильич
2710;101445411;1;65;34;Старунский Александр Ильдарович
2718;101402126;1;69;124;Булыгин Борис Константинович
2719;101429365;1;64;100;Вещев Леонид Витальевич
2727;101381653;1;74;103;Собакинский Павел Анатольевич
2730;101436092;1;76;56;Борчин Егор Станиславович
2733;101429551;1;81;36;Халтурин Константин Артемович
2748;101440635;1;73;137;Пантелеев Василий Денисович
2793;101391914;1;72;124;Оленченко Дмитрий Петрович
2807;101420687;1;73;36;Губатов Евгений Федорович
2825;101448926;1;67;20;Образцов Ефим Васильевич
2854;101399675;1;87;55;Евсеичев Иван Романович
2862;101439300;1;61;118;Синдеев Игорь Васильевич
2864;101388421;1;60;64;Игрушин Георгий Эдуардович
2869;101401839;1;84;89;Максумов Петр Борисович
2876;101380162;1;70;81;Тимофеевский Вячеслав Романович
2881;101415671;1;65;9;Скуров Николай Артурович
2895;101370000;1;64;112;Луганский Роман Ильич
2916;101405728;1;74;48;Бершадский Антон Борисович
2917;101428996;1;73;106;Цалер Николай Яковлев
2923;101418676;1;67;129;Светланов Павел Филиппович
2947;101422164;1;83;55;Кознов Денис Денисович
2952;101382622;1;69;124;Узюков Тимофей Кириллович
2953;101449536;1;62;77;Финажин Борис Петрович
2958;101423492;1;53;130;Лысков Ярослав Данилович
2981;101408085;1;70;22;Банарь Федор Борисович
2984;101373416;1;75;44;Землянушин Игорь Дамирович
3000;101378832;1;68;46;Чарушкин Максим Николаевич
3016;101394178;1;72;117;Баксов Виталий Филиппович
3019;101381116;1;75;136;Шолин Михаил Радикович
3021;101384578;1;66;76;Емельчиков Марсель Антонович
3029;101419508;1;70;55;Дедов Роберт Егорович
3035;101428516;1;67;73;Алексеевич Радик Алексеевич
3062;101405162;1;70;60;Школьник Роман Тимурович
3063;101422206;1;65;60;Буркут Альберт Валентинович
3085;101410385;1;70;63;Вторушин Эдуард Игоревич
3104;101386166;1;82;14;Арсенков Ян Дамирович
3105;101385038;1;66;37;Летовальцев Артур Тимофеевич
3110;101446938;1;69;56;Булахтин Александр Геннадьевич
3138;101406351;1;65;33;Петривский Николай Янович
3152;101434026;1;75;1;Такменев Сергей Викторович
3158;101445043;1;80;137;Ющенко Виктор Ильдарович
3179;101417595;1;62;36;Подолин Никита Кириллович
3194;101435544;1;75;89;Бобровничий Ринат Иванович
3204;101369479;1;64;73;Апсеитов Михаил Антонович
3209;101408656;1;68;20;Судейко Герман Валерьевич
3210;101393132;1;50;66;Тинин Филипп Степанович
3221;101385230;1;72;98;Дойников Геннадий Антонович
3224;101426455;1;68;99;Геллер Александр Геннадьевич
3238;101436001;1;67;24;Игнатченко Эдуард Геннадьевич
3256;101409541;1;76;61;Бескровный Георгий Маратович
3257;101408332;1;60;134;Семенюшкин Роберт Рамилевич
3260;101347416;1;76;69;Байдин Геннадий Тимофеевич
3290;101409202;1;65;21;Васюков Александр Артурович
3309;101389684;1;73;13;Бутов Ильдар Дмитриевич
3331;101445881;1;63;12;Палехов Евгений Артурович
3348;101382937;1;65;101;Амрайн Степан Иванович
3349;101434204;1;65;73;Злобкин Марсель Антонович
3351;101398775;1;76;108;Бутусин Константин Валерьевич
3360;101372081;1;69;24;Даминов Кирилл Иванович
3367;101361083;1;66;9;Смолкин Вадим Радикович
3369;101418991;1;66;22;Критский Рамиль Георгиевич
3376;101378368;1;76;34;Гурнов Ян Григорьевич
3384;101399564;1;59;64;Батяев Рамиль Александрович
3399;101396502;1;48;20;Старцев Данил Алексеевич
3400;101408152;1;72;94;Ковалишин Дамир Андреевич
3421;101400220;1;68;113;Недомеров Николай Данилович
3427;101410048;1;65;13;Хатюшин Виктор Альбертович
3457;101412134;1;63;98;Столярчук Валентин Степанович
3463;101442603;1;61;135;Курзенков Виталий Иванович
3501;101443536;1;65;10;Грабаров Альберт Олегович
3513;101370799;1;82;47;Якимов Кирилл Романович
3514;101381146;1;72;73;Тамразов Ян Романович
3524;101354666;1;76;94;Бельмесов Егор Григорьевич
3528;101405019;1;70;91;Колосницын Владимир Витальевич
3529;101443451;1;71;44;Тучин Николай Ярославович
3532;101421217;1;70;28;Анкушин Аркадий Максимович
3534;101444446;1;67;132;Прутцков Илья Егорович
3558;101402004;1;70;48;Диковский Ефим Александрович
3568;101449526;1;57;95;Истратов Леонид Кириллович
3578;101433261;1;69;91;Чусовитин Евгений Дмитриевич
3596;101382524;1;66;124;Блинков Никита Сергеевич
3598;101373115;1;77;8;Печиброщ Владислав Вадимович
3601;101432300;1;69;121;Ворошилов Ян Александрович
3603;101425261;1;58;33;Белаш Павел Ильич
3614;101387515;1;69;87;Чернопрудов Филипп Владимирович
3622;101447299;1;70;64;Невтерпов Тимур Янович
3623;101409523;1;71;56;Пятайкин Юрий Марселевич
3630;101365478;1;79;116;Кубарев Григорий Ринатович
3635;101397341;1;71;20;Аленичев Денис Эдуардович
3637;101448704;1;62;76;Гиматдинов Тимур Денисович
3638;101350898;1;69;17;Варвулев Ефим Алексеевич
3645;101415237;1;75;36;Брус Марат Артурович
3646;101415310;1;72;137;Безбабич Эдуард Владимирович
3647;101445104;1;74;117;Паршуткин Александр Ильдарович
3650;101354658;1;74;53;Переплетчиков Яков Дмитриевич
3659;101449921;1;61;118;Арабажин Евгений Алексеевич
3686;101379954;1;73;58;Шарко Федор Филиппович
3716;101447920;1;66;51;Егорьев Радик Викторович
3725;101351575;1;68;36;Рябышкин Николай Ярославович
3729;101372315;1;69;30;Тимковский Андрей Романович
3736;101408738;1;66;60;Борт Егор Егорович
3737;101407389;1;64;46;Бельчев Марсель Робертович
3763;101390473;1;68;28;Вакуленко Егор Глебович
3767;101384577;1;64;86;Крысов Григорий Владиславович
3772;101385844;1;73;1;Боркут Тимур Павлович
3780;101371238;1;68;70;Байрашев Кирилл Маратович
3789;101424905;1;71;132;Духанин Марат Андреевич
3802;101444001;1;68;58;Полюсов Петр Рамилевич
3819;101427721;1;62;43;Абишев Егор Борисович
3828;101424719;1;75;55;Беринг Герман Евгеньевич
3833;101365217;1;68;69;Пометун Роман Робертович
3860;101381750;1;72;39;Талабанов Семен Германович
3867;101424236;1;73;117;Климук Ефим Альбертович
3876;101440610;1;65;55;Ильющенко Дмитрий Георгиевич
3880;101440091;1;85;22;Бейман Семен Ефимович
3885;101425317;1;59;66;Мечев Иван Егорович
3889;101376120;1;69;87;Бахтигозин Иван Витальевич
3903;101432542;1;77;116;Толстодомов Никита Артурович
3909;101434710;1;65;60;Лоторев Виталий Радикович
3911;101399321;1;71;116;Лопатников Ефим Артемович
3913;101415193;1;72;131;Баер Валентин Маратович
3927;101363227;1;57;120;Афлятунов Иван Робертович
3942;101440229;1;74;94;Тютюнник Аркадий Павлович
3946;101428706;1;69;108;Шувакин Максим Александрович
3948;101393794;1;72;5;Гурбатов Игорь Дамирович
3953;101438854;1;58;108;Ощепковых Дмитрий Валентинович
3957;101435163;1;67;13;Тавровский Геннадий Степанович
3984;101387470;1;71;25;Агадуллин Марсель Ильдарович
3986;101425565;1;70;32;Онушкин Ринат Геннадьевич
3990;101383023;1;70;46;Седнев Владислав Алексеевич
3994;101410644;1;68;64;Косенко Борис Дмитриевич
3995;101444235;1;60;24;Оразов Денис Михаилович
3998;101372023;1;74;60;Бухарский Ринат Михаилович
4014;101376613;1;74;91;Колзаков Виталий Михаилович
4015;101409793;1;60;72;Самотоков Егор Алексеевич
4026;101445271;1;68;117;Фасин Иван Станиславович
4035;101355755;1;74;32;Шевердин Павел Никитович
4052;101393665;1;68;116;Кирилличев Артем Вячеславович
4056;101429592;1;64;127;Лесанов Аркадий Дмитриевич
4060;101387882;1;72;28;Шаталин Валентин Антонович
4063;101447085;1;66;91;Мозолюк Данил Геннадьевич
4105;101391851;1;67;51;Зуенко Павел Алексеевич
4108;101356138;1;69;100;Анопченко Виктор Янович
4124;101440441;1;63;105;Гаврищев Георгий Владиславович
4127;101447866;1;61;8;Бобовик Анатолий Маратович
4155;101422394;1;67;133;Бляблин Ярослав Артемович
4161;101372776;1;66;50;Днишев Евгений Ярославович
4176;101443122;1;84;72;Резухин Ильдар Николаевич
4197;101416491;1;65;36;Бердов Аркадий Дамирович
4199;101401563;1;74;14;Рахов Анатолий Вячеславович
4207;101450091;1;79;116;Бакланов Егор Владимирович
4211;101354606;1;78;99;Бусс Рамиль Андреевич
4216;101436394;1;68;33;Муллахметов Евгений Владимирович
4225;101447861;1;58;126;Капаев Ян Владиславович
4237;101422968;1;70;135;Гольданский Ян Владиславович
4270;101439551;1;60;51;Субаев Марсель Георгиевич
4283;101432262;1;62;70;Хашиев Марсель Вадимович
4286;101443432;1;63;55;Меланьин Данил Евгеньевич
4287;101442266;1;64;129;Газиев Владимир Антонович
4288;101350777;1;84;79;Желтонос Алексей Ефимович
4295;101425051;1;66;48;Сикетин Борис Владимирович
4298;101352524;1;81;3;Честноков Юрий Германович
4306;101370558;1;69;132;Гусейнов Ян Николаевич
4312;101378546;1;81;5;Скибкин Филипп Юрьевич
4322;101436121;1;61;56;Соловов Руслан Федорович
4352;101439055;1;69;77;Иверенев Рамиль Валерьевич
4367;101386931;1;64;112;Спешнев Валентин Радикович
4370;101450225;1;71;42;Божескул Тимофей Федорович
4389;101444299;1;73;52;Асташин Никита Евгеньевич
4397;101394523;1;67;52;Кельин Аркадий Романович
4418;101406385;1;72;113;Галченков Радик Григорьевич
4429;101445207;1;64;34;Кияткин Геннадий Александрович
4451;101384797;1;66;73;Бухарев Виталий Артемович
4472;101362771;1;72;55;Непомнящев Радик Маратович
4482;101430700;1;75;5;Ануфрев Петр Константинович
4488;101409761;1;88;24;Тряпицын Валентин Филиппович
4501;101398244;1;70;47;Пережогин Марсель Александрович
4504;101387741;1;70;91;Кожаров Леонид Михаилович
4508;101397928;1;71;64;Ситский Семен Геннадьевич
4532;101404231;1;77;42;Лукашин Валерий Вадимович
4540;101386844;1;77;7;Тарасюк Павел Филиппович
4546;101388523;1;74;20;Середин Вячеслав Борисович
4554;101450666;1;67;116;Акашев Максим Геннадьевич
4557;101433598;1;63;26;Брынзин Аркадий Вадимович
4578;101391789;1;76;137;Голик Владимир Андреевич
4586;101416404;1;73;36;Кленовский Константин Павлович
4598;101447218;1;60;5;Зеркин Александр Тимурович
4600;101436788;1;66;28;Ривин Геннадий Аркадьевич
4603;101379196;1;72;58;Загребнев Олег Юрьевич
4604;101434080;1;63;98;Портянко Марат Геннадьевич
4605;101433531;1;71;42;Бархударов Марат Борисович
4629;101385363;1;67;111;Зяблицкий Юрий Яковлев
4630;101447798;1;65;46;Панчуков Петр Максимович
4638;101425407;1;62;4;Элькин Георгий Андреевич
4640;101422263;1;67;13;Игренев Федор Яковлев
4659;101376263;1;77;36;Артыгалиев Егор Аркадьевич
4662;101443605;1;72;111;Алексиков Руслан Борисович
4673;101431544;1;62;33;Арабян Семен Федорович
4678;101448109;1;76;117;Одноусов Тимур Александрович
4687;101438259;1;77;34;Самойлин Илья Михаилович
4704;101442779;1;76;136;Потехин Константин Анатольевич
4737;101359536;1;70;36;Косаковский Григорий Павлович
4741;101362035;1;73;124;Бучков Марат Кириллович
4749;101427008;1;71;61;Баскаков Филипп Романович
4751;101382636;1;66;32;Либабов Эдуард Геннадьевич
4760;101363220;1;86;120;Боричев Сергей Ефимович
4761;101395091;1;67;136;Евсиков Антон Петрович
4765;101432315;1;65;27;Клоков Олег Игоревич
4777;101413826;1;64;22;Сицинский Егор Аркадьевич
4796;101413470;1;65;119;Будко Данил Иванович
4805;101386170;1;84;137;Хилиниченко Иван Валерьевич
4806;101437564;1;64;129;Шершунов Герман Витальевич
4810;101409113;1;78;12;Шепель Радик Альбертович
4812;101445145;1;73;58;Дубровинский Егор Дмитриевич
4818;101436538;1;76;89;Костюнин Федор Янович
4847;101443476;1;75;118;Колкутин Олег Валентинович
4856;101396687;1;83;0;Армеев Илья Александрович
4858;101430601;1;85;108;Ивашенцов Ринат Алексеевич
4869;101440247;1;66;18;Собинов Илья Александрович
4873;101372368;1;60;81;Засурцев Радик Петрович
4880;101450817;1;59;8;Железняк Евгений Дмитриевич
4913;101449653;1;70;80;Заходякин Антон Рамилевич
4933;101349867;1;76;121;Белякаев Георгий Кириллович
4936;101424542;1;73;111;Хоробов Валентин Викторович
4943;101415429;1;67;20;Иванищев Данил Аркадьевич
4957;101428799;1;73;15;Евстратиков Петр Петрович
4961;101378522;1;63;64;Самунин Роман Геннадьевич
4978;101411387;1;70;70;Бернацких Аркадий Вадимович
5007;101373682;1;83;21;Безстужев Николай Витальевич
5027;101392594;1;69;21;Куандыков Ринат Дамирович
5030;101446647;1;68;113;Петинов Геннадий Валерьевич
5032;101409420;1;71;76;Кайков Ян Витальевич
5042;101431078;1;68;7;Ячник Виктор Ефимович
5053;101408688;1;62;56;Кучук Ян Павлович
5054;101358541;1;74;89;Горелик Сергей Ильич
5079;101444970;1;64;9;Фирсанин Андрей Анатольевич
5080;101439134;1;55;54;Сумнин Руслан Григорьевич
5091;101417990;1;70;36;Клок Вадим Степанович
5108;101409909;1;72;96;Амплеев Максим Георгиевич
5117;101369039;1;78;58;Жуликов Дмитрий Ефимович
5149;101354824;1;68;70;Нугатов Борис Семенович
5169;101447738;1;61;118;Харитонов Альберт Олегович
5182;101396052;1;70;86;Гортынский Иван Олегович
5197;101446746;1;67;36;Бекленищев Александр Ефимович
5220;101447729;1;70;27;Займовский Альберт Алексеевич
5228;101375943;1;73;8;Дегтев Кирилл Антонович
5229;101438099;1;65;52;Лосский Роберт Романович
5232;101444793;1;61;100;Халтурин Роберт Леонидович
5243;101395195;1;54;124;Махров Рамиль Витальевич
5261;101411868;1;87;4;Мясников Радик Евгеньевич
5265;101449003;1;60;8;Мансуров Ярослав Артемович
5277;101406601;1;65;83;Ржешотарский Тимур Владимирович
5279;101442273;1;62;60;Ардаковский Олег Денисович
5283;101424867;1;67;75;Дарков Григорий Дмитриевич
5286;101368072;1;66;37;Бергсон Вячеслав Леонидович
5293;101355475;1;82;84;Анкидинов Марсель Витальевич
5311;101415123;1;75;116;Бабынин Руслан Маратович
5313;101432915;1;64;99;Хмилевский Николай Глебович
5315;101409217;1;63;48;Асатуров Яков Петрович
5322;101390110;1;71;53;Отакулов Максим Марселевич
5328;101423254;1;66;30;Бизюков Павел Андреевич
